text,intent,group,split
What is the remainder when 2 to the power 10 is divided by 7,reasoning,reasoning-066,train
I need help: describe the colours used in this poster?,multimodal,multimodal-086,train
What is the latest iPhone model available in India,search,search-034,train
"Hey, what is the total on this restaurant bill image thanks",multimodal,multimodal-002,test
What does the pie chart in this image show as the largest slice,multimodal,multimodal-050,train
Please look at this MRI scan image and describe what you see please,multimodal,multimodal-038,train
"I need help: which is a better deal, 30 percent off or buy two get one free thanks",reasoning,reasoning-071,train
"Hey, read the ingredients list from this photo of the packet asap",multimodal,multimodal-048,train
"A snail climbs 3 metres a day and slips 2 at night, how long to climb a 10 metre wall",reasoning,reasoning-018,train
Create a LinkedIn post announcing my new job,writing,writing-042,train
Could you how do I deploy a Node app on an Ubuntu VPS with pm2,coding,coding-048,train
"I need help: two trains leave stations 300 km apart at 60 and 90 km/h toward each other, when do they meet asap",reasoning,reasoning-036,train
Read the ingredients list from this photo of the packet,multimodal,multimodal-048,train
Detect the objects in this street photo,multimodal,multimodal-067,train
Which of these two room photos looks tidier,multimodal,multimodal-040,train
I need help: write a Ruby method that counts word frequency in a string asap,coding,coding-013,test
"Hey, write an essay arguing that homework should be abolished please",writing,writing-045,train
Please how to serialize a dataclass to JSON in Python,coding,coding-070,train
Find the sum of all integers from 1 to 200.,reasoning,reasoning-080,train
Could you write a Go HTTP server that returns hello world,coding,coding-063,train
I need help: draft an apology email for missing the client meeting,writing,writing-040,train
Could you write a Ruby method that counts word frequency in a string,coding,coding-013,test
Draft a memo announcing the new work from home policy,writing,writing-027,train
Write a motivational message for my team before the hackathon,writing,writing-074,train
Write a long-form explainer on how vaccines work for a general audience,writing,writing-069,train
Can you how do I connect to MongoDB from Node.js.,coding,coding-023,train
How do I read a CSV file into a pandas DataFrame,coding,coding-035,train
Work out whether it's cheaper to take a cab daily or buy a bike over a year,reasoning,reasoning-031,train
What number when doubled and added to 5 gives 19,reasoning,reasoning-026,train
Quick one: convert this callback code to promises asap,coding,coding-014,test
I need help: write an FAQ section for our online course website please,writing,writing-084,train
Can you what is the price on this shelf tag image please,multimodal,multimodal-076,train
Read the handwriting in this note and type it out.,multimodal,multimodal-081,train
Write a condolence message for a friend who lost her father,writing,writing-043,train
Draft a LinkedIn recommendation for my former manager thanks,writing,writing-010,test
Quick one: what is the fastest land animal,search,search-053,train
I need help: write an essay arguing that homework should be abolished?,writing,writing-045,train
Please write a case study about how our team reduced churn,writing,writing-052,train
Can you how do I center a div with flexbox please,coding,coding-027,train
Quick one: summarize this article in three paragraphs for a newsletter,writing,writing-077,train
Please debug this segmentation fault in my C program thanks,coding,coding-084,train
Reason about whether P equals NP matters for everyday software asap,reasoning,reasoning-072,train
Latest updates on the Chandrayaan mission,search,search-042,train
"Hey, what year did India win its first cricket World Cup",search,search-008,test
Debug this segmentation fault in my C program,coding,coding-084,train
What happened in the tech industry this week,search,search-010,test
"Hey, write a story in second person about waking up on Mars",writing,writing-070,train
"Hey, how do I set up a virtual environment with venv",coding,coding-036,train
I need help: give me the latest unemployment statistics for the US please,search,search-028,train
Write a Python decorator that logs function execution time,coding,coding-059,train
Look at this sketch and tell me what building it is,multimodal,multimodal-008,test
Can you are there any train strikes in Mumbai today?,search,search-003,test
Analyze this graph image and summarize the key finding,multimodal,multimodal-042,train
"Hey, fix this Python TypeError: unsupported operand type(s) for +: 'int' and 'str'",coding,coding-012,test
Please who is the founder of Infosys asap,search,search-026,train
Who won the Oscar for best picture this year.,search,search-032,train
How do I read a CSV file into a pandas DataFrame asap,coding,coding-035,train
Check this screenshot of my code for bugs,multimodal,multimodal-080,train
Please describe the body language of the people in this meeting photo?,multimodal,multimodal-023,train
Write unit tests for this login function using pytest,coding,coding-075,train
"Hey, what ingredients can you see in this fridge photo",multimodal,multimodal-056,train
"Hey, what ingredients can you see in this fridge photo thanks",multimodal,multimodal-056,train
Which of these two room photos looks tidier asap,multimodal,multimodal-040,train
Which company acquired Figma,search,search-006,test
Could you how do I catch exceptions in Python and log them,coding,coding-044,train
Could you how do I connect to MongoDB from Node.js,coding,coding-023,train
I need help: identify the landmark in this photo?,multimodal,multimodal-047,train
Rewrite this essay introduction to be more engaging,writing,writing-082,train
I need help: translate the menu in this image to English.,multimodal,multimodal-060,train
Please what is the score shown on this scoreboard picture thanks,multimodal,multimodal-054,train
"Hey, where is the 2028 Olympics being held please",search,search-049,train
Turn these bullet points into a well-structured report?,writing,writing-017,test
I need help: what is the sum of the interior angles of a hexagon and why,reasoning,reasoning-087,train
Can you write a case study about how our team reduced churn thanks,writing,writing-052,train
Can you write a podcast episode description about productivity habits,writing,writing-079,train
Please who won the Formula 1 race last weekend,search,search-063,train
Tell me what the graph in the screenshot is measuring please,multimodal,multimodal-043,train
Quick one: is the Bangalore metro purple line open on Sundays please,search,search-083,train
Could you write a Go HTTP server that returns hello world?,coding,coding-063,train
"Is it rational to buy lottery tickets, argue both sides",reasoning,reasoning-041,train
"Hey, write a Java program to find duplicate elements in an array",coding,coding-087,train
Draft a professional out-of-office reply,writing,writing-066,train
Could you how do I mock an API call in Jest thanks,coding,coding-028,train
Write an FAQ section for our online course website,writing,writing-084,train
"Hey, a bat and a ball cost 1.10 in total, the bat costs one more than the ball, what does the ball cost please",reasoning,reasoning-085,train
"Hey, explain step by step why the sky is blue asap",reasoning,reasoning-021,train
What is the melting point of gold,search,search-060,train
"Hey, write a regex that matches Indian phone numbers",coding,coding-018,train
When is Diwali this year,search,search-082,train
Please write a newsletter intro for our monthly community update?,writing,writing-071,train
Could you explain the meme in this image?,multimodal,multimodal-069,train
Could you turn this technical documentation into a friendly user guide asap,writing,writing-025,train
I need help: what is the weather in Chennai tomorrow thanks,search,search-037,train
Write a newsletter intro for our monthly community update please,writing,writing-071,train
Explain why dividing by zero is undefined thanks,reasoning,reasoning-013,test
Quick one: explain the logic behind the birthday paradox,reasoning,reasoning-008,test
I need help: what is the graph in this image plotting on the y axis asap,multimodal,multimodal-074,train
"Two fathers and two sons go fishing and catch three fish, one each, how thanks",reasoning,reasoning-037,train
Set up a GitHub Actions workflow that runs pytest on push,coding,coding-033,train
"Hey, analyze this graph image and summarize the key finding.",multimodal,multimodal-042,train
Explain how a hash map works internally,coding,coding-047,train
Write a personal statement for a masters application,writing,writing-007,test
Compose a rap verse about debugging at 3 am please,writing,writing-055,train
Can you evaluate whether it is worth doing a masters right after undergrad thanks,reasoning,reasoning-014,test
I need help: identify the coin in this image and its country asap,multimodal,multimodal-014,test
Quick one: read the temperature from this thermostat photo please,multimodal,multimodal-032,train
Quick one: which is the largest desert in the world?,search,search-009,test
Quick one: write a 500-word reflection on what I learned this semester.,writing,writing-063,train
Write a story in second person about waking up on Mars,writing,writing-070,train
Write a motivational message for my team before the hackathon?,writing,writing-074,train
Could you what is a race condition and how do I avoid it with mutexes,coding,coding-043,train
How many bones are in the human body,search,search-078,train
Reason out whether a ball thrown upward has zero acceleration at the top,reasoning,reasoning-043,train
Please write the introduction chapter for my thesis on renewable energy please,writing,writing-089,train
Quick one: explain what this lambda expression does,coding,coding-037,train
How to schedule a cron job that runs every 15 minutes,coding,coding-071,train
Please what is the animal in this blurry night photo please,multimodal,multimodal-000,test
When does daylight saving time end in the US this year asap,search,search-050,train
"What is the flaw in this argument: all birds fly, penguins are birds, so penguins fly",reasoning,reasoning-070,train
Please tell me what the graph in the screenshot is measuring,multimodal,multimodal-043,train
What is the fastest land animal,search,search-053,train
I need help: is the wiring in this photo done safely,multimodal,multimodal-028,train
"Can you if I flip a fair coin 10 times, what is the expected number of heads",reasoning,reasoning-061,train
What is the deepest point in the ocean,search,search-038,train
Could you write a shell one-liner to count lines in all Python files thanks,coding,coding-050,train
What is the remainder when 2 to the power 10 is divided by 7.,reasoning,reasoning-066,train
How many moons does Jupiter have thanks,search,search-087,train
"Hey, identify the bird in this image asap",multimodal,multimodal-084,train
Compose an email declining a job offer politely,writing,writing-012,test
Could you how do I prevent SQL injection in my login form asap,coding,coding-042,train
Can you how do I read a CSV file into a pandas DataFrame thanks,coding,coding-035,train
Please draft a cover letter for a software engineering internship?,writing,writing-054,train
Look at this screenshot and tell me which button to click next please,multimodal,multimodal-089,train
Can you who is the president of France.,search,search-077,train
Quick one: write an op-ed on the future of remote work please,writing,writing-020,train
Can you how many moons does Jupiter have,search,search-087,train
When does daylight saving time end in the US this year,search,search-050,train
Explain the reasoning behind the prisoner's dilemma,reasoning,reasoning-082,train
Quick one: which cable in this photo goes to the router,multimodal,multimodal-004,test
Describe what is in this image,multimodal,multimodal-039,train
"Optimize this nested loop, it is O(n^2) thanks",coding,coding-056,train
Please explain step by step why the sky is blue asap,reasoning,reasoning-021,train
Please suggest a caption for this sunset picture asap,multimodal,multimodal-029,train
I need help: find the sum of all integers from 1 to 200 asap,reasoning,reasoning-080,train
Can you create a script for a two-minute YouTube intro video,writing,writing-028,train
Quick one: what is the current status of the Bangalore suburban rail project please,search,search-086,train
Quick one: describe the architecture style of the building in the photo asap,multimodal,multimodal-022,train
Quick one: what is the Sensex at right now.,search,search-031,train
Please write a blog post titled ten lessons from my first startup thanks,writing,writing-005,test
Please write a short story about a lighthouse keeper who finds a message in a bottle?,writing,writing-083,train
Can you add error handling to this fetch call.,coding,coding-032,train
Write a testimonial for my yoga instructor,writing,writing-061,train
Quick one: who is the CEO of OpenAI right now,search,search-068,train
Can you who is the richest person in the world right now,search,search-081,train
"Quick one: what is the flaw in this argument: all birds fly, penguins are birds, so penguins fly",reasoning,reasoning-070,train
Could you my git push is rejected because the remote contains work I do not have please,coding,coding-051,train
Quick one: extract the phone number from this business card photo.,multimodal,multimodal-083,train
Can you help me write vows for my wedding please,writing,writing-053,train
"Hey, what happened at the latest Apple WWDC keynote.",search,search-022,train
Is this photo of a bridge showing any structural damage,multimodal,multimodal-003,test
Write a paragraph describing autumn in the mountains.,writing,writing-009,test
Can you which planet has the most moons,search,search-054,train
Write a 500-word reflection on what I learned this semester please,writing,writing-063,train
Quick one: look at this UI mockup and suggest improvements,multimodal,multimodal-019,train
I need help: what does the pie chart in this image show as the largest slice?,multimodal,multimodal-050,train
Look at this outfit photo and rate it out of ten,multimodal,multimodal-020,train
"Can you calculate the area of a triangle with sides 5, 6 and 7",reasoning,reasoning-006,test
"Quick one: a man walks 3 km north then 4 km east, how far is he from the start",reasoning,reasoning-033,train
What is the make and model of the bike in this image?,multimodal,multimodal-025,train
Can you what is the height of the Statue of Unity,search,search-030,train
Quick one: write a Dockerfile for a Django project,coding,coding-066,train
Quick one: write a GraphQL schema for a blog with posts and comments,coding,coding-052,train
"My Flask app returns 404 for every route, what is wrong?",coding,coding-024,train
I need help: what is the current world record for the 100m sprint?,search,search-074,train
Quick one: compare these two chart screenshots and tell me which trend is stronger,multimodal,multimodal-045,train
How do I set up a virtual environment with venv,coding,coding-036,train
Can you what is the current status of the Bangalore suburban rail project asap,search,search-086,train
Can you look at this screenshot and tell me which button to click next,multimodal,multimodal-089,train
"Hey, draft the about-us page for a startup that sells organic tea",writing,writing-086,train
"Please is this syllogism valid: some cats are black, all black things are dark, so some cats are dark?",reasoning,reasoning-052,train
How do I prevent SQL injection in my login form,coding,coding-042,train
Could you convert this screenshot of a table into markdown,multimodal,multimodal-070,train
Can you what are the symptoms of dengue fever,search,search-039,train
Look up the ISBN of the book Sapiens,search,search-023,train
Please convert this Python 2 code to Python 3 thanks,coding,coding-074,train
"If a shirt costs 800 after a 20 percent discount, what was the original price",reasoning,reasoning-015,test
"Two trains leave stations 300 km apart at 60 and 90 km/h toward each other, when do they meet",reasoning,reasoning-036,train
Which of these two logo designs looks more professional,multimodal,multimodal-010,test
Please write an FAQ section for our online course website please,writing,writing-084,train
Can you is this photo of a bridge showing any structural damage.,multimodal,multimodal-003,test
Write a GraphQL schema for a blog with posts and comments,coding,coding-052,train
What is the sum of the interior angles of a hexagon and why,reasoning,reasoning-087,train
Can you what is the speed of light in km per second?,search,search-021,train
Which team won the most recent Champions League final?,search,search-045,train
Create a script for a two-minute YouTube intro video,writing,writing-028,train
How many moons does Jupiter have,search,search-087,train
"Hey, how many chairs are visible in this room photo.",multimodal,multimodal-061,train
What is a race condition and how do I avoid it with mutexes,coding,coding-043,train
"I need help: if today is Tuesday, what day is it 100 days from now",reasoning,reasoning-030,train
Reason about whether P equals NP matters for everyday software,reasoning,reasoning-072,train
I need help: what is the animal in this blurry night photo,multimodal,multimodal-000,test
What is wrong with this proof that 1 equals 2,reasoning,reasoning-019,train
Look at this MRI scan image and describe what you see,multimodal,multimodal-038,train
"A bat and a ball cost 1.10 in total, the bat costs one more than the ball, what does the ball cost",reasoning,reasoning-085,train
Can you why does my async function return a Promise instead of the value?,coding,coding-083,train
What is the chemical formula of caffeine,search,search-084,train
Explain this stack trace from Spring Boot,coding,coding-022,train
How to handle CORS errors in an Express server,coding,coding-001,test
"Should our startup hire a senior engineer or two juniors, think through the trade-offs",reasoning,reasoning-010,test
Look up the ISBN of the book Sapiens asap,search,search-023,train
Which teams are in the IPL final this season thanks,search,search-035,train
Can you write an Instagram caption for my graduation photo,writing,writing-057,train
Convert this for loop into a list comprehension please,coding,coding-076,train
Solve the system x plus y equals 10 and x minus y equals 4 thanks,reasoning,reasoning-017,test
Convert this for loop into a list comprehension,coding,coding-076,train
"Hey, write a Swift function that sorts an array of structs by date please",coding,coding-049,train
"Hey, why is my Docker container exiting immediately",coding,coding-067,train
I need help: explain why 0.999 repeating equals 1 asap,reasoning,reasoning-046,train
How to make a Python script executable from the terminal,coding,coding-015,test
Could you what is the total on this restaurant bill image,multimodal,multimodal-002,test
"Could you if a car travels 150 km in 2.5 hours, what is the average speed asap",reasoning,reasoning-029,train
"I need help: what is the difference between let, const and var?",coding,coding-088,train
Could you what is the fastest land animal,search,search-053,train
"Hey, write a function that reverses a linked list in Java",coding,coding-060,train
"Could you should our startup hire a senior engineer or two juniors, think through the trade-offs",reasoning,reasoning-010,test
Implement Dijkstra's algorithm in C++.,coding,coding-017,test
Could you latest updates on the Chandrayaan mission,search,search-042,train
Can you explain the reasoning behind the prisoner's dilemma,reasoning,reasoning-082,train
Draft a press release for our app launch.,writing,writing-013,test
Turn this photographed math problem into text and solve it please,multimodal,multimodal-041,train
I need help: write a Python generator that yields Fibonacci numbers thanks,coding,coding-020,train
Please reason about whether P equals NP matters for everyday software.,reasoning,reasoning-072,train
Please write a complaint letter to the airline about lost luggage,writing,writing-047,train
Why is my Python virtual environment not activating on Windows,coding,coding-065,train
Derive the quadratic formula from completing the square thanks,reasoning,reasoning-081,train
Write a formal invitation for our college tech fest,writing,writing-050,train
Describe the body language of the people in this meeting photo,multimodal,multimodal-023,train
Look up the ISBN of the book Sapiens?,search,search-023,train
How to use useState with an array of objects,coding,coding-026,train
What is the make and model of the bike in this image,multimodal,multimodal-025,train
I need help: write song lyrics about leaving home for college thanks,writing,writing-037,train
Analyze this X-ray image for anything unusual.,multimodal,multimodal-077,train
I need help: look up the opening hours of the Bangalore Palace,search,search-067,train
Could you identify the mountain range in this landscape photo please,multimodal,multimodal-057,train
Quick one: is it logically valid to conclude it rained because the ground is wet please,reasoning,reasoning-050,train
When is the next solar eclipse visible from India,search,search-002,test
What emotion is the person in this picture showing please,multimodal,multimodal-013,test
"Hey, what species of fish is in this aquarium picture",multimodal,multimodal-066,train
Are these two images of the same person please,multimodal,multimodal-007,test
"My Flask app returns 404 for every route, what is wrong",coding,coding-024,train
I need help: why is the Monty Hall answer counterintuitive to most people please,reasoning,reasoning-056,train
Can you write a personal statement for a masters application please,writing,writing-007,test
"Hey, write a Python script to scrape titles from a webpage with BeautifulSoup",coding,coding-081,train
I need help: draft a LinkedIn recommendation for my former manager asap,writing,writing-010,test
Estimate the number of cars in Bangalore with reasoning thanks,reasoning,reasoning-068,train
Draft a cover letter for a software engineering internship,writing,writing-054,train
Estimate how many piano tuners there are in Chicago please,reasoning,reasoning-007,test
I need help: what is the minimum number of colours needed to colour any map thanks,reasoning,reasoning-002,test
Compose a thank-you note to my mentor,writing,writing-051,train
What is the height of the Statue of Unity,search,search-030,train
What is written on the t-shirt in this picture,multimodal,multimodal-049,train
What is the minimum number of colours needed to colour any map,reasoning,reasoning-002,test
Write a diary entry from the perspective of a street dog asap,writing,writing-067,train
"I need help: should our startup hire a senior engineer or two juniors, think through the trade-offs",reasoning,reasoning-010,test
What font is used in this image,multimodal,multimodal-001,test
Draft an agenda and opening remarks for our annual meeting please,writing,writing-014,test
Summarize the infographic in this picture?,multimodal,multimodal-063,train
Prove that the square root of 2 is irrational,reasoning,reasoning-022,train
Could you which piece is winning in this chessboard photo,multimodal,multimodal-017,test
I need help: solve for x: 3x + 7 = 2x - 5?,reasoning,reasoning-042,train
Please what is the current inflation rate in India?,search,search-076,train
Work out whether it's cheaper to take a cab daily or buy a bike over a year asap,reasoning,reasoning-031,train
"Hey, what font is used in this image",multimodal,multimodal-001,test
Please write a description for a YouTube video about budget travel please,writing,writing-068,train
Please look at the picture and tell me what time the clock shows,multimodal,multimodal-034,train
Quick one: compose a farewell message for a colleague who is leaving,writing,writing-056,train
Write a persuasive speech on why students should learn to code,writing,writing-011,test
What color is the car in the picture,multimodal,multimodal-088,train
Please estimate how many tennis balls fit in a bus,reasoning,reasoning-032,train
I need help: compare the pros and cons of renting versus buying a house?,reasoning,reasoning-051,train
Could you what is wrong with the plant in this photo,multimodal,multimodal-015,test
Can you how many handshakes happen if 12 people each shake hands once thanks,reasoning,reasoning-025,train
Write a C function to check if a number is prime,coding,coding-000,test
"Hey, write a poem about monsoon in Hyderabad",writing,writing-008,test
Why can't you divide a cake fairly among three people by cutting it once,reasoning,reasoning-060,train
"Hey, how to parse JSON in Rust with serde",coding,coding-053,train
"Hey, what is the latest iPhone model available in India thanks",search,search-034,train
I need help: write a bedtime story for a five year old about a brave turtle,writing,writing-003,test
I need help: how would you decide between two equally qualified job candidates,reasoning,reasoning-065,train
What are the visa requirements for Indians travelling to Japan asap,search,search-040,train
How many players are on a kabaddi team asap,search,search-062,train
Can you what is the atomic number of tungsten,search,search-043,train
"Hey, write the introduction chapter for my thesis on renewable energy",writing,writing-089,train
Quick one: draft a toast for my parents' anniversary dinner thanks,writing,writing-036,train
Please what is the remainder when 2 to the power 10 is divided by 7,reasoning,reasoning-066,train
Explain why dividing by zero is undefined,reasoning,reasoning-013,test
Is the person in this image wearing a helmet,multimodal,multimodal-051,train
Quick one: identify the coin in this image and its country asap,multimodal,multimodal-014,test
Could you is the wiring in this photo done safely,multimodal,multimodal-028,train
"Hey, reason step by step: is it better to pay off debt or invest first please",reasoning,reasoning-001,test
Please explain the difference between an interface and an abstract class.,coding,coding-019,train
Compare the pros and cons of renting versus buying a house,reasoning,reasoning-051,train
Please who invented the telephone please,search,search-046,train
"Hey, is it rational to buy lottery tickets, argue both sides",reasoning,reasoning-041,train
How do I implement pagination in a Django REST API please,coding,coding-064,train
"Hey, draft a sponsorship request letter for our robotics club",writing,writing-034,train
Draft an agenda and opening remarks for our annual meeting,writing,writing-014,test
Create a script for a two-minute YouTube intro video please,writing,writing-028,train
Could you what is a race condition and how do I avoid it with mutexes asap,coding,coding-043,train
I need help: compose a farewell message for a colleague who is leaving asap,writing,writing-056,train
What is the tallest building in the world right now,search,search-056,train
"If a train catches up to another train, how do I set up the equations?",reasoning,reasoning-076,train
"Hey, write a C function to check if a number is prime.",coding,coding-000,test
Draft meeting minutes from these notes please,writing,writing-018,train
Could you what is the latest Android version called,search,search-073,train
Quick one: latest news about Tesla stock,search,search-013,test
How would you decide between two equally qualified job candidates,reasoning,reasoning-065,train
Write a Dockerfile for a Django project,coding,coding-066,train
I need help: what is the probability of getting two heads in three coin tosses please,reasoning,reasoning-020,train
Please which is the better strategy in rock paper scissors against a predictable opponent,reasoning,reasoning-048,train
Please rewrite this essay introduction to be more engaging?,writing,writing-082,train
Please what is the national animal of Australia,search,search-001,test
What are the current RBI repo rate figures,search,search-055,train
Reason step by step: is it better to pay off debt or invest first?,reasoning,reasoning-001,test
Could you what is the diagram in this picture showing please,multimodal,multimodal-085,train
Read the text in this scanned receipt and total it,multimodal,multimodal-059,train
Could you translate the menu in this image to English,multimodal,multimodal-060,train
"Hey, work out whether it's cheaper to take a cab daily or buy a bike over a year",reasoning,reasoning-031,train
I need help: how many states does India have.,search,search-064,train
Can you write a diary entry from the perspective of a street dog asap,writing,writing-067,train
"Optimize this nested loop, it is O(n^2)?",coding,coding-056,train
"Hey, who is the current chief minister of Karnataka?",search,search-019,train
"Hey, think through whether it makes sense to buy an electric scooter for a 5 km commute",reasoning,reasoning-086,train
Please rewrite this paragraph to sound more formal?,writing,writing-002,test
"Hey, what is the graph in this image plotting on the y axis please",multimodal,multimodal-074,train
Read the handwriting in this note and type it out,multimodal,multimodal-081,train
Could you when is the next solar eclipse visible from India,search,search-002,test
What species of fish is in this aquarium picture,multimodal,multimodal-066,train
"Could you if a train catches up to another train, how do I set up the equations thanks",reasoning,reasoning-076,train
Quick one: latest updates on the Chandrayaan mission asap,search,search-042,train
I need help: how do I make an HTTP POST request with requests in Python,coding,coding-045,train
"Hey, implement binary search in Go thanks",coding,coding-061,train
Which fruit in this basket photo looks ripe,multimodal,multimodal-068,train
Write a book blurb for a fantasy novel about a librarian mage?,writing,writing-044,train
How far is the moon from Earth,search,search-011,test
Describe the colours used in this poster,multimodal,multimodal-086,train
"Hey, i have 3 red and 5 blue socks in a drawer, how many must I pull to guarantee a pair",reasoning,reasoning-054,train
Can you set up a GitHub Actions workflow that runs pytest on push thanks,coding,coding-033,train
Look at this UI mockup and suggest improvements,multimodal,multimodal-019,train
Write a migration to add an index on the email column asap,coding,coding-011,test
Quick one: how many diagonals does a decagon have?,reasoning,reasoning-059,train
Quick one: help me decide between studying abroad and staying in India for my degree.,reasoning,reasoning-023,train
What is the currency of Vietnam,search,search-059,train
Draft the about-us page for a startup that sells organic tea,writing,writing-086,train
Write a 1000-word essay on climate feedback loops,writing,writing-030,train
Write a cover letter for a marketing role at a fashion brand,writing,writing-087,train
Could you fix this Python TypeError: unsupported operand type(s) for +: 'int' and 'str'.,coding,coding-012,test
Can you explain step by step how to decide which sorting algorithm to use thanks,reasoning,reasoning-009,test
I need help: write a funny best man speech.,writing,writing-058,train
Could you which company acquired Figma,search,search-006,test
What is the weather in Chennai tomorrow,search,search-037,train
Write a Ruby method that counts word frequency in a string,coding,coding-013,test
Who scored the most runs in the last cricket World Cup?,search,search-085,train
Help me write vows for my wedding,writing,writing-053,train
Can you extract the table from this screenshot into CSV,multimodal,multimodal-030,train
"Hey, write a welcome email sequence for new subscribers?",writing,writing-000,test
Write a podcast episode description about productivity habits,writing,writing-079,train
If you have a 3 litre and a 5 litre jug how do you measure exactly 4 litres.,reasoning,reasoning-064,train
Who is the richest person in the world right now?,search,search-081,train
Are these two images of the same person?,multimodal,multimodal-007,test
I need help: convert this photo of my notes into a bullet list?,multimodal,multimodal-044,train
What is the GDP of Japan,search,search-044,train
Rewrite this paragraph to sound more formal,writing,writing-002,test
Can you expand this outline into a full article on sleep hygiene thanks,writing,writing-088,train
How would you decide between two equally qualified job candidates.,reasoning,reasoning-065,train
Can you build a simple todo API with Express and MongoDB.,coding,coding-030,train
"Quick one: compare these two product photos, which has better lighting please",multimodal,multimodal-052,train
